# Chinese lookup aliases | English gloss
# The user-facing input scheme outputs Simplified Chinese only.
# Derived from CC-CEDICT, published by MDBG.
# License: CC BY-SA 4.0 https://creativecommons.org/licenses/by-sa/4.0/
# Source date: 2026-08-23T06:21:07Z
䴕	woodpecker
䴗	variant of 鵙[ju2]
䴘	used in 鷿鷈|䴙䴘[pi4 ti1]; variant of 鷈|䴘[ti1]
䴙	used in 鷿鷈|䴙䴘[pi4 ti1]; variant of 鷿|䴙[pi4]
䴙䴘	(zoology) grebe (Podicipediformes); variant of 鷿鷈|䴙䴘[pi4 ti1]
䴸	variant of 麩|麸[fu1]
䵹	old variant of 蜘[zhi1]
䶊	old variant of 衄[nu:4]
䶑	variant of 嚏[ti4]
䶮	(rare) character coined for use in the name of Liu Yan 劉龑|刘䶮[Li…
一	one; single
一一	one by one; one after another
一一对应	one-to-one correspondence
一一對應	one-to-one correspondence
一一映射	(math.) bijective map
一丁不識	(idiom) illiterate
一丁不识	(idiom) illiterate
一丁点	a tiny bit
一丁點	a tiny bit
一下	(after a verb) a bit; a little (indicating brief duration, or s…
一下儿	erhua form of 一下[yi1 xia4]
一下兒	erhua form of 一下[yi1 xia4]
一下子	once; one time; (following a verb) for a moment; briefly
一不做，二不休	lit. either don't do it, or don't rest (idiom)
一不小心	to be a little bit careless; to have a moment of inattentivenes…
一世	generation; period of 30 years
一丘之貉	jackals of the same tribe (idiom); fig. They are all just as ba…
一东一西	far apart
一丝一毫	one thread, one hair (idiom); a tiny bit; an iota
一丝不挂	not wearing one thread (idiom); absolutely naked
一丝不苟	not one thread loose (idiom); strictly according to the rules
一丟丟	(coll.) a tiny bit
一丢丢	(coll.) a tiny bit
一並	variant of 一併|一并[yi1 bing4]
一个	a; an; one; the whole (afternoon, summer vacation etc)
一个个	a number of; each and every one
一个中国政策	one-China policy
一个人	by oneself (without assistance); alone (without company)
一个劲	continuously; persistently
一个劲儿	erhua variant of 一個勁|一个劲[yi1 ge4 jin4]
一个半	one and a half
一个天南，一个地北	to live miles apart
一个头两个大	(coll.) to feel as though one's head could explode (Tw)
一个将军一个令	lit. one general, one order (idiom)
一个巴掌拍不响	lit. one palm alone cannot clap (proverb)
一个接一个	one by one; one after another
一个样	the same; of the same type
一个萝卜一个坑	lit. every turnip to its hole (idiom)
一中一台	"one China, one Taiwan" – the notion that China and Taiwan are…
一中原则	One-China principle, the official doctrine that Taiwan is a pro…
一中原則	One-China principle, the official doctrine that Taiwan is a pro…
一举	a move; an action
一举一动	(idiom) every movement; each and every move
一举两得	(lit.) one action, two gains (idiom)
一举成功	success at one go; to succeed at the first attempt
一举成名	(idiom) to become famous in one stroke; to shoot to fame (origi…
一举手一投足	every little move; every single movement
一之为甚	once is more than enough (idiom)
一之為甚	once is more than enough (idiom)
一之謂甚	see 一之為甚|一之为甚[yi1 zhi1 wei2 shen4]
一之谓甚	see 一之為甚|一之为甚[yi1 zhi1 wei2 shen4]
一乾二淨	thoroughly (idiom); completely
一了百了	(idiom) once the main problem is solved, all troubles are solve…
一事无成	(idiom) to have achieved nothing; to be a total failure; to get…
一事無成	(idiom) to have achieved nothing; to be a total failure; to get…
一二	one or two; a few; a little; just a bit
一二九运动	December 9th Movement (1935), student protest movement calling…
一二九運動	December 9th Movement (1935), student protest movement calling…
一二八事变	January 28 Incident (1932), military conflict between China and…
一二八事變	January 28 Incident (1932), military conflict between China and…
一五一十	lit. count by fives and tens (idiom); to narrate systematically…
一些	some; a few; a little; (following an adjective) slightly ...er
一亩三分地	a piece of land of 1.3 mu 畝|亩[mu3]; (fig.) one's turf
一亲芳泽	to get close to; to get on intimate terms with
一人得道，雞犬升天	(lit.) when a person attains enlightenment and immortality, eve…
一人得道，鸡犬升天	(lit.) when a person attains enlightenment and immortality, eve…
一介不取	to not even take a penny (as a bribe)
一代	an era; an age; a generation
一代不如一代	to be getting worse with each generation
一以貫之	(idiom) (of a principle, purpose etc) consistently upheld; adhe…
一以贯之	(idiom) (of a principle, purpose etc) consistently upheld; adhe…
一价	monovalent (chemistry)
一众	a group of people; a whole group (esp. in formal or journalisti…
一会	a moment; a while
一会儿	a moment; a while
一传十，十传百	(idiom) (of news etc) to spread like wildfire; to be disseminat…
一体	an integral whole; all concerned
一体两面	(fig.) two sides of the same coin
一体化	to integrate; to unify
一作	first author (of an academic paper) (abbr. for 第一作者[di4 yi1 zuo…
一併	to lump together; to treat along with all the others
一來	firstly, ...
