# Common English word | short Simplified Chinese gloss
# Derived from ECDICT. License: MIT.
# Source snapshot downloaded: 2026-08-25
# Source SHA-256: 1a6947e04785db63613a92e14903cdae7954f7e84860b10e68e5c7cbb3f9c3cf
a	第一个字母A
broadleaved	阔叶的
broadly	宽广地
broadminded	宽宏大量的
broadmoor	<英>布罗德
broadness	阔
broadsheet	大幅单面印刷
broadside	猛烈的攻击/
broadsword	大刀
broadtail	粗尾羊
broadway	百老汇大街
brobdingnagian	巨人
broca	人名
brocade	织锦
brocaded	织成锦缎的
broccoli	花椰菜
brochure	小册子
brochures	小册子
brock	[动]獾
broderick	布罗德里克（
broderie	人名
brodie	失败
brodsky	约瑟夫·布罗
brody	布洛迪（姓氏
brogan	劳动靴
brogue	土腔
broil	烤
broiled	炙的
broiler	小鸡
broiling	灼热的
broke	一文不名的
broken	坏掉的
broken-down	衰弱的
brokenly	断断续续地
brokenness	破碎（bro
broker	掮客
brokerage	经纪人
brokered	由权力经纪人
brokering	做掮客（或中
broking	经纪业
brolly	伞
brom	（德）溴（一
bromeliad	凤梨科植物
bromide	溴化物
bromine	溴
bromley	布罗姆利（英
bromsgrove	布罗姆斯格罗
bromwich	人名
bronc	北美西部产的
bronchi	pl.支气管
bronchial	支气管
bronchiectasis	支气管扩张
bronchitis	支气管炎
bronchodilator	支气管扩张药
bronchoscope	支气管镜
bronco	野马
bronson	布朗森
bronte	勃朗特
brontosaur	雷龙
brontosaurus	雷龙
bronx	布朗克斯区
bronze	青铜
bronzed	青铜色的
bronzer	古铜色化妆品
bronzing	烫金
bronzy	青铜色的
brooch	胸针
brood	一窝
brooder	育雏暖房
brooding	沉思的
broodingly	broodi
broodmare	传种母马
broody	抱窝的
brook	小溪
brooke	布鲁克（女子
brooker	布洛克
brookes	[英格兰人姓
brookfield	布鲁克菲尔德
brooking	人名
brooklyn	布鲁克林区
brooks	布鲁克斯（姓
brookside	[美国]布鲁
broom	扫帚
broome	布鲁姆（地名
broomfield	人名
broomstick	扫帚柄
bros	人名
broth	原汁清汤
brothel	妓院
brother	兄弟
brotherhood	手足情谊
brotherly	兄弟的
brothers	哥们儿
brotherton	布拉泽顿（人
brough	布拉夫（姓氏
brougham	早年的旧式汽
broughton	布劳顿
brouhaha	吵闹
brow	眉毛
browbeat	对...吹胡
browbeaten	browbe
brown	褐色
browne	布朗（姓氏）
browned	褐色的
brownfield	棕色地带
brownian	苏格兰的植物
brownie	界仁巧克力饼
browning	勃朗宁
brownish	呈褐色的
brownlow	人名
brownness	褐色
brownout	部分灯火管制
brownshirt	纳粹党党员
brownstone	褐砂石
browny	带褐色的
browse	浏览
browser	吃嫩叶的动物
browsing	浏览
broxbourne	布罗克斯本
brs	英国道路服务
bruce	布鲁斯
brucellosis	布鲁氏菌病
bruges	布鲁日[比利
brugge	<佛兰芒语>
bruin	布伦熊
bruise	青肿
bruised	[医]青肿的
bruiser	职业拳击家
bruising	硬伤
bruit	散播
brummie	<英口>Ⅰn
brunch	早午餐
brundtland	人名
brunei	文莱
brunel	布鲁奈尔（英
bruner	人名
brunet	浅黑肤色的男
brunette	浅黑肤色的女
brunner	布伦纳（人名
bruno	布鲁诺（男子
brunswick	不伦瑞克
brunt	主要冲力
brunton	袖珍罗盘
bruschetta	意大利烤面包
brush	刷子
brushed	拉过绒的
brushfire	局部的
brushing	刷涂
brushless	无需用刷子的
brushstroke	一笔
brushwood	柴
brushwork	笔法
brushy	如毛刷的
brusque	唐突的
brusquely	唐突地
brusqueness	无礼
brussels	布鲁塞尔
brut	极干的
brutal	残忍的
brutalise	使丧失人类情
brutality	残忍
brutalization	兽性
brutalize	使残忍
brutalized	使丧失人类情
brutally	残忍地
brute	畜生
brutish	畜生般的
bruton	人名
brutus	布鲁特斯（罗
bryan	布赖恩（男子
bryant	布赖恩特（男
bryce	Canyon
bryn	布琳（人名）
bryony	泻根属植物
bryozoan	苔藓虫
bryson	布赖森（人名
bs	理学士
bsa	农业科学学士
bsb	商学士（Ba
bsc	商学士（Ba
bse	basesu
bsi	英国标准学会
bskyb	（缩）英国天
bsl	baseli
bsp	四溴酞酚磺酸
bst	英国夏令时（
bt	英国电信（B
bta	英国旅游管理
btec	商业与技术教
btr	回带阅读机（
bu	英斗
bub	小弟弟
bubba	（美）好老弟
bubble	泡沫
bubblegum	<美俚>泡泡
bubbling	起泡
bubbly	多泡的
bubonic	腹股沟淋巴结
buccal	颊的
buccaneer	海盗
buccaneering	海盗行为
buccleuch	人名
buchan	巴肯
buchanan	布坎南
bucharest	布加勒斯特
buck	元
buckaroo	牛仔
buckboard	平板马车
bucket	桶
bucketful	桶
buckeye	七叶树
bucking	浸渍
buckingham	白金汉郡[英
buckinghamshire	白金汉郡[英
buckland	人名
buckle	皮带扣
buckled	有扣的
buckler	小圆盾
buckley	巴克利（姓氏
buckling	屈曲
buckmaster	人名
bucko	欺凌弱小者
buckram	粗硬布
bucks	雄鹿队（篮球
buckshot	<美>大型铅
buckskin	鹿皮
buckthorn	泻鼠李
buckwheat	荞麦
buckyball	巴克球
bucolic	牧民的
bud	芽
buda	布达（位于现
budapest	布达佩斯
budd	巴德（伦敦一
buddha	佛陀
buddhism	佛教
buddhist	佛教徒
buddie	兄弟
budding	萌芽的
buddleia	醉鱼草属植物
buddy	好朋友
bude	人名
budge	微微移动
budgerigar	虎皮鹦鹉
budget	预算
budgetary	预算的
budgeted	&vi.把…
budgeting	预定
budweiser	百威啤酒
buenos	人名
buf	缓冲器
buff	暗黄色
buffalo	水牛
buffed	健壮的
buffer	缓冲器
buffered	[医]缓冲的
buffering	缓冲
buffet	自助餐
buffeting	振动
buffon	布冯（法国姓
buffoon	小丑
buffoonery	打诨
buffoonish	buffoo
buffy	喝醉了的
bug	错误
bugaboo	吓唬人的东西
bugatti	布加迪（汽车
bugbear	怪物
bugger	老兄
buggery	鸡奸
bugging	窃听
buggy	多虫的
bugle	喇叭
bugler	喇叭手
bugling	吹号（bug
buick	别克（汽车品
build	建立
build-up	内建的
buildable	可建造的
builder	建立者
building	建筑物
buildings	建筑物（bu
buildup	发展
built	build的
built-in	内在的
bukhara	布哈拉
bukharin	布哈林（人名
bulawayo	布拉瓦约[津
bulb	球茎
bulblet	小鳞茎
bulbous	球茎的
bulbul	夜莺
bulgaria	保加利亚
bulgarian	保加利亚人
bulge	胀
bulger	凸面木杆
bulging	打气
bulgur	碾碎的干小麦
bulimia	食欲过盛
bulimic	善饥的
bulk	大小
bulkhead	隔壁
bulking	膨胀
bulky	庞大的
bull	公牛
bulla	大疱
bulldog	喇叭狗
bulldoze	强迫
bulldozed	强迫（某人做
bulldozer	推土机
bulldozing	推土
buller	代理人的助手
bullet	子弹
bulletin	公告
bulletproof	防弹的
bullfight	斗牛
bullfighter	斗牛士
bullfinch	红腹灰雀
bullfrog	牛蛙
bullhead	大头鱼
bullhorn	手提式电子扩
bullion	金银
bullish	似公牛的
bullock	阉牛
bullpen	<美>牛栏
bullring	斗牛场
bullrush	[植]芦苇
bullseye	靶眼
bullshit	胡说
bullwhip	牛鞭
bully	欺凌弱小者
bullying	恐吓
bulmer	人名
bulrush	宽叶香蒲
bulwark	保障
bum	游荡者
bumble	结结巴巴地说
bumblebee	[动]大黄蜂
bumbler	做错事的人
bumbling	妄自尊大的
bumf	卫生纸
bummed	失望的
bummer	无赖
bump	撞击
bumper	缓冲器
bumph	<英俚>公文
bumping	暴沸
bumpkin	乡下人
bumptious	瞎自夸的
bumpy	颠簸的
bun	小面包
bunbury	作观光旅行
bunce	邦斯（男子名
bunch	串
bunched	聚束的
bunching	捆札
bunco	邦科
bund	同盟
bundesbank	德意志联邦银
bundesliga	（德）德国足
bundespost	西德邮电部
bundesrat	帝国参政院
bundestag	<德>国联邦
bundle	捆
bundled	附随的
bundler	打包机
bundling	捆绑销售
bundy	人名
bung	塞子
bungalow	平房
bungay	邦吉
bungee	橡皮筋
bunghole	桶孔
bungle	拙劣地工作
bungled	搞糟
bungler	工作笨拙的人
bungling	笨拙的
bungy	蹦极
bunion	拇趾囊肿
bunk	铺位
bunker	煤仓
bunkhouse	临时住房
bunkmate	<美>同寝室
bunkum	博取欢心的演
bunn	人名
bunny	兔子
bunsen	本生（181
bunt	顶撞
bunter	本特阶
bunting	触击
bunyan	班扬（姓氏）
buoy	浮标
buoyancy	浮力
buoyant	有浮力的
buoyantly	有浮力地
bupa	英国有远见者
buprenorphine	丁丙诺啡
bupropion	安非他酮
bur	刺果
burb	<美俚>=s
burberry	柏帛丽雨衣
burble	发汩汩声
burbling	气流分离
burden	负担
burdened	负荷的
burdensome	累赘的
burdock	牛蒡
burdon	体细胞杂种
bureau	局
bureaucracy	官僚
bureaucrat	官僚作风的人
bureaucratese	官话
bureaucratic	官僚的
bureaucratically	官僚主义地
bureaucratisation	bureau
bureaucratization	官僚化
bureaucratized	官僚统治
burford	人名
burg	城
burge	人名
burgeon	芽
burgeoning	急速增长的
burger	汉堡包（等于
burgess	市民
burgh	自治市
burgher	公民
burglar	窃贼
burglarize	进行夜盗
burglary	夜盗行为
burgle	破门盗窃
burgos	布尔戈斯（西
burgoyne	伯戈因（美国
burgundian	勃艮第的
burgundy	勃艮第
burial	埋葬
buried	埋葬的
burin	冰凿
burka	蒙住全身的长
burke	秘密地除去
burl	节
burlap	粗麻布
burleigh	伯利
burlesque	诙谐模仿
burley	白莱菸
burlington	伯灵顿
burly	结实的
burma	缅甸
burman	缅甸人[语]
burmese	缅甸人
burn	烧
burned	burn的过
burnell	人名
burner	火炉
burnet	小地榆
burnett	伯内特（姓氏
burney	伯尼
burnham	人名
burning	燃烧的
burnish	擦亮
burnished	抛光的
burnley	伯恩利（英国
burnout	烧尽
burns	络腮胡子
burnside	伯恩赛德
burnt	burn的过
burnt-out	竭尽的
burp	饱嗝儿
burqa	布卡（伊斯兰
burr	毛边
burra	大人
burrell	人名
burridge	人名
burrito	墨西哥玉米煎
burro	小驴
burrough	人名
burroughs	伯勒斯Bur
burrow	洞穴
burrowing	挖掘（洞穴）
burrows	巴罗斯（姓氏
bursa	囊
bursar	财务主管
bursary	财务办公室
bursitis	黏液囊炎
burst	破裂
burster	分组器
bursting	充满的
burt	伯特（人名）
burton	复滑车
burun	人名
burundi	布隆迪
burundian	布隆迪人
bury	埋葬
bus	公共汽车
busboy	餐馆里的服务
busby	毛皮制高帽子
busch	布施（姓氏）
buse	布斯
bush	矮树丛
bushel	蒲式耳
bushell	人名
bushing	轴衬
bushman	澳大利亚丛林
bushmaster	巨蝮
bushwhack	开伐丛林
bushwhacker	丛林开伐者
bushy	灌木一样的
busily	忙碌地
business	生意
businesslike	有条理的
businessman	商人
businesspeople	商人
businessperson	商人
businesswoman	商人
busing	以公共汽车接
busk	<苏>准备好
busker	<英>卖艺人
busload	公共汽车运载
busman	公共汽车司机
buss	接吻
bust	半身像
bustard	大鸨
busted	破产了的
buster	庞然大物
bustle	喧闹
bustling	熙熙攘攘的
busty	大胸脯的
busy	忙碌的
busybody	爱管闲事的人
busyness	繁忙
busywork	为免学生空闲
but	除了
butadiene	丁二烯
butane	丁烷
butch	[俚]充当男
butcher	屠夫
butchered	屠宰（but
butchering	屠宰（but
butchers	屠夫
butchery	屠宰场
bute	保泰松（一种
butler	男管家
butlin	人名
butlins	n.人名
butt	粗大的一头
butte	孤峰
butter	奶油
butterball	小鸭的一种
buttercup	毛茛属植物
buttered	抹黄油于…上
butterfat	乳脂
butterfield	人名
butterfish	鲳
butterflied	切开摊平（b
butterfly	蝴蝶
buttermilk	脱脂乳
butternut	灰胡桃
butterscotch	奶油糖果
butterworth	巴特沃斯
buttery	配膳室
buttock	半边臀部
buttocks	臀部
button	钮扣
buttoned	扣紧的
buttonhole	钮孔
buttress	拱壁
butty	（英）三明治
butyl	丁基
butyrate	丁酸盐
buxom	丰满的
buxton	人名
buy	买
buyback	回购
buyer	买主
buying	买气
buyout	全部买下
buz	buzzer
buzz	嗡嗡声
buzzard	贪婪的人
buzzer	嗡嗡作声的东
buzzing	嗡嗡响的
buzzsaw	圆锯
buzzword	流行词
buzzy	伸缩式风钻
bv	法国国际检验
bw	细菌战
bx	军营杂货店（
by	被
by-election	递补选举
by-product	副产品
byatt	拜厄特
bye	interj
byelaw	规则
byelorussia	白俄罗斯
byelorussian	白俄罗斯语
byers	（人名）拜尔
bygone	过去的事
bylaw	附则
byline	副业
byng	人名
bypass	旁路
byproduct	副产品
byrd	伯德（姓氏）
byre	牛栏
byrne	伯恩（姓氏）
byron	拜伦（男子名
byronic	拜伦的
bysshe	比希（英格兰
bystander	旁观者
byte	字节
byway	旁道
byword	谚语
byzantine	拜占庭帝国的
byzantium	拜占庭
c	调用
ca	钙
caa	民用航空管理
cab	出租车
cabal	秘密结社
cabalistic	神秘的
caballero	西班牙绅士
cabana	小屋
cabaret	卡巴莱
cabbage	卷心菜
cabbie	出租马车车夫
cabby	出租车司机
cabdriver	计程车司机
caber	长树干
cabernet	红葡萄酒
cabin	小屋
cabinet	橱柜
cabinetmaker	家具师
cabinetry	（总称）内阁
cable	电缆
cablegram	海底电报
cabling	接缆
cabochon	依天然形状磨
caboodle	群
caboose	守车
cabot	卡伯特（意大
cabra	人名
cabrera	人名
cabriolet	蓬式汽车
cacao	可可豆
cach	Centra
cache	隐藏所
cachet	公章
cacique	酋长
cackle	咯咯声
cackling	发出咯咯声
cacophonous	发音不和谐的
cacophony	不愉快的音调
cacti	pl.仙人掌
cactus	仙人掌
cad	卑鄙的男人
cadaver	死尸
cadaveric	尸体的
cadaverous	象尸体的
cadbury	吉百利（公司
caddie	球童
caddis	毛翅蝇
caddy	小盒子
cade	杜松
cadence	韵律
cadenced	音调抑扬顿挫
cadenet	人名
cadenza	[乐]装饰乐
cadet	军官学校学生
cadge	行乞
cadillac	卡迪拉克牌轿
cadiz	加的斯
cadmium	镉
cadmus	[希神]卡德
cadogan	卡多根
cadre	框架
cae	计算机辅助教
caecum	盲肠
caen	卡昂哔叽
caernarfon	卡那封
caernarvon	卡那封郡
caerphilly	卡尔菲利干酪
caerulein	雨蛙肽
caesar	恺撒
caesarean	恺撒的
caesarian	凯撒的
caesars	凯撒大帝
caesium	铯
caesura	中止
cafe	咖啡馆
cafeteria	自助餐厅
caffeinated	含咖啡因的
caffeine	咖啡因
caftan	土耳其长袍
cage	笼
caged	关在笼子里的
cages	笼子
cagey	狡猾的
cagily	谨慎小心地
cagliari	卡利亚里
cagney	（人名）卡格
cagoule	有帽薄防风衣
cahier	会议记录
cahill	垂钓用的假蝇
cahn	人名
cahoot	合谋
caiman	凯门鳄（等于
cain	凶手
caine	该隐（《圣经
caique	土耳其狭长划
caird	流动铜匠
cairn	石堆纪念碑
cairncross	人名
cairngorm	烟晶
cairngorms	凯恩戈姆山脉
cairns	凯恩斯（澳大
cairo	开罗
caisson	弹药箱
caithness	凯思内斯郡（
cajole	以甜言蜜语哄
cajolery	诱骗
cajoling	（用甜言蜜语
cajun	法人后裔（移
cake	蛋糕
cakewalk	步态竞赛
cal	计算机辅助学
calabash	葫芦
calabria	卡拉布里亚区
calabrian	卡拉布里亚的
caladium	[植]贝母
calais	加来（法国城
calamari	（用作食品的
calamine	异极矿
calamitous	灾难性的
calamity	灾难
calcareous	钙化软骨
calcification	钙化
calcified	（使）钙化
calcify	变成石灰质
calcite	方解石
calcitonin	降钙素
calcium	钙
calculable	可计算的
calculate	计算
calculated	有计划的
calculatedly	故意地
calculating	计算的
calculatingly	calcul
calculation	计算
calculative	计算的
calculator	计算者
calculus	结石
calcutta	加尔各答
calder	考尔德（姓氏
caldera	破火山口
calderwood	人名
caldron	大锅
caldwell	考德威尔（姓
cale	风度
caleb	迦勒（男子名
caledonia	苏格兰之古时
caledonian	古苏格兰的
calendar	日历
calender	轧光机
calendrical	日历的
calendula	金盏花属植物
calf	小牛
calfskin	小牛的皮
calgary	卡尔加里（加
caliban	卡利班
caliber	口径
calibra	卡里布拉（一
calibrate	测定口径
calibrated	校准使...
calibration	口径测定
calibrator	校准器
calibre	口径
caliche	生硝
calico	印花棉布
california	加利福尼亚
californian	加利福尼亚州
caligula	卡利古拉（罗
caliper	测径规
calipers	pl.测径规
caliph	哈里发
caliphate	伊斯兰教国王
calisthenics	健身操
call	呼叫
call-up	召集
calla	水芋
callable	请求即付的
callaghan	卡拉汉（人名
callahan	人名
callaloo	卡拉萝
callan	青少年
callander	人名
callback	收回
calle	（西）街道
called	被呼叫的
caller	访客
calligrapher	书法家
calligraphic	书法的
calligraphy	笔迹
calling	职业
calliope	卡利俄珀
calliper	卡钳
callous	麻木的
calloused	粗糙的
callously	冷酷无情地
callousness	麻木不仁
callow	年轻而无经验
calloway	人名
callus	皮肤的硬皮
cally	警察局
calm	平稳
calming	平静的
calmly	平静地
calmness	平静
calmodulin	钙调蛋白
calor	灼热
caloric	热的
calorie	卡路里（热量
calorific	生热的
calorimeter	热量计
calorimetry	量热学
calory	卡[路里]
calthorpe	人名
calumniate	中伤
calumny	诽谤
calvados	陈年苹果白兰
calvary	骷髅地
calve	生小牛
calver	孕牛
calvert	卡尔弗特（姓
calvin	卡尔文（男子
calving	裂冰
calvinism	加尔文主义
calvinist	加尔文教徒
calvinistic	加尔文主义的
calvo	人名
calypso	[希腊神话]
calyx	花萼
calzone	半圆形烤馅饼
cam	凸轮
camaraderie	友情
camber	弧形
camberley	人名
camberwell	坎伯威尔
cambium	形成层
cambodia	柬埔寨
cambodian	柬埔寨人（高
camborne	坎伯恩（地名
cambrian	寒武纪的
cambric	麻纱
cambridge	剑桥
cambridgeshire	剑桥郡
camcorder	摄录像机
camden	卡姆登（姓）
camel	骆驼
camelford	人名
camellia	山茶花
camelot	卡米洛特
camembert	法国Came
cameo	刻有浮雕的宝
camera	照相机
cameraman	照相师
camerawork	摄影技巧
cameron	卡梅伦/隆（
cameroon	喀麦隆
cameroonian	喀麦隆人
cami	comput
camilla	卡蜜拉（女子
camille	卡米尔（女子
camilo	人名
camisole	背心式女内衣
camo	迷彩服
camomile	洋甘菊
camouflage	伪装
camouflaged	隐蔽
camp	露营
campaign	战役
campaigner	从军者
campaigning	作战
campanile	钟楼
campanula	风铃草属植物
campari	堪培利开胃酒
campbell	坎贝尔（姓氏
campden	人名
camped	露宿的
camper	露营者
campese	人名
campesino	农夫
campfire	营火
campground	露营场所
camphor	樟脑
camping	野营
campion	剪秋罗属植物
campo	南美草原
campsie	恳思（悉尼的
campsite	营地
campus	校园
campy	一副下流相的
campylobacter	弯曲菌
camra	争取散装啤酒
camshaft	凸轮轴
camus	加缪
can	装罐
can't	不能
cana	迦南（巴勒斯
canaan	迦南
canaanite	迦南人
canada	加拿大
canadensis	[美国]卡纳
canadian	加拿大的
canal	运河
canaletto	人名
canalize	开掘运河
canalside	在运河边上的
canape	夹鱼子或小鱼
canard	谣言
canary	金丝雀
canasta	凯钠斯特纸牌
canavan	人名
canaveral	卡纳维拉尔（
canberra	堪培拉
cance	坎斯
cancel	取消
canceled	取消
cancellation	取消
cancelled	被取消的
cancer	癌
cancerous	癌的
candelabra	pl.枝状大
candelabrum	枝状大烛台
candice	坎蒂丝（女子
candid	坦白的
candida	念珠菌属
candidacy	候选人的地位
candidate	候选人
candidature	候选人的地位
candidiasis	念珠菌病
candidly	率直地
candied	糖制的
candle	蜡烛
candleholder	烛台
candlelight	烛光
candlelit	（房间、饭桌
candles	蜡烛
candlestick	蜡杆
candor	坦白
candour	坦率
candy	糖果
candyfloss	棉花糖
cane	手杖
canebrake	藤丛
caned	用苔杖打（c
canid	[动]犬科动
canine	犬齿
caning	鞭打
canister	罐
canker	溃疡
cann	人名
canna	美人蕉属植物
cannabis	大麻
canned	罐装的
cannelloni	（意大利的）
cannery	罐头厂
cannes	戛纳
cannibal	食人者
cannibalise	<主英>=c
cannibalism	嗜食同类
cannibalistic	食人肉的
cannibalize	同类相食
cannily	精明地
canning	罐头制造
cannister	小罐
cannock	坎诺克
cannoli	[用作单或复
cannon	大炮
cannonade	炮击
cannonball	炮弹
cannot	无法
cannula	套管
cannulation	套管插入术
canny	精明的
canoe	独木舟
canoeing	划独木舟
canoeist	划独木舟的人
canola	加拿大油菜
canon	教会法规
canonic	正规的
canonical	依教规的
canonisation	正式宣布为圣
canonise	<主英>=c
canonist	圣典学者
canonization	追封为圣者
canonize	封...死者
canonized	正式宣布（某
canoodle	搂颈亲热
canopied	遮有天篷的
canopy	天篷
canst	<废>为ca
cant	伪善之言
cantaloupe	罗马甜瓜
cantankerous	专爱唱反调的
cantata	康塔塔
canted	有角的
canteen	水壶
canter	慢跑
canterbury	坎特伯雷
canticle	圣歌
cantilever	悬臂
cantilevered	带悬臂的
cantina	小酒店
canto	长诗的篇章
canton	州
cantona	坎托纳
cantonal	州的
cantonese	广东人
cantonment	宿营地
cantor	祈祷文吟诵人
canute	卡纽特（10
canvas	帆布
canvasback	帆布潜鸭
canvass	细查
canvasser	游说者
canvassing	（在政治方面
canyon	峡谷
cao	首席行政官（
cap	盖子
capability	能力
capable	有能力的
capably	能干地
capacious	容积大的
capacitance	电容
capacitive	电容的
capacitor	电容器
capacity	容量
caparison	马衣
cape	岬
caped	披斗篷的
capel	套环
capelin	香鱼科的小海
capellini	天使细面（意
caper	跳跃
capetian	卡佩王朝
capful	一帽子的量
capillary	毛细管
capital	首都
capitalisation	<主英>=c
capitalise	用大写字母写
capitalism	资本主义
capitalist	资本家
capitalistic	资本主义的
capitalization	资本化
capitalize	以大写字母写
capitalized	大写的
capitated	【植物学】头
capitation	人头税
capitol	国会大厦
capitulate	投降
capitulation	投降
caplan	卡普兰（人名
capm	计算机辅助病
capo	[乐]品柱（
capon	阉鸡
caponata	<意>n.碎
capone	卡波尼（歌手
capp	计算机辅助生
capped	脱帽致意（c
capper	诱骗者
capping	髓盖
cappuccino	热牛奶咖啡
capra	人名
capri	卡普里酒（产
capriati	人名
capriccio	恶作剧
caprice	反复无常
capricious	反复无常的
capriciously	任性地
capriciousness	心境变态
capricorn	摩羯宫
capsaicin	辣椒碱
capsicum	辣椒
capsid	衣壳
capsize	翻覆
capsized	（使船）翻
capstan	绞盘
capstone	顶石
capsular	绞囊的
capsule	胶囊
capt	船长（cap
captain	船长
captaincy	舰长的职位
caption	说明
captious	吹毛求疵的
captivate	迷住
captivated	迷住（某人）
captivating	迷人的
captive	俘虏
captivity	囚禁
captor	捕捉者
capture	抓取
capturing	捕捉（cap
capuchin	圣方济会托钵
capybara	[动]水豚
car	汽车
cara	卡拉（女性人
carabiner	竖钩
carabinero	<西>马枪骑
carabinieri	宪兵
caracalla	卡拉卡拉（罗
caracas	加拉加斯（委
caradoc	[地]卡拉道
carafe	卡拉夫瓶
caramel	焦糖
caramelised	使成焦糖（等
caramelize	加熔使焦
caramelized	（食物）含焦
carapace	甲壳
carat	克拉
caravaggio	卡拉瓦乔（地
caravan	旅行队
caravel	轻快帆船
caraway	藏茴香
carb	[汽车]汽化
carbamazepine	卡马西平
carbide	碳化物
carbine	卡宾枪
carbohydrate	碳水化合物
carbolic	碳制的
carbon	碳
carbonaceous	碳的
carbonara	<意>n.烤
carbonate	碳酸盐
carbonated	含二氧化碳的
carbonation	二氧化碳饱和
carbonic	碳的
carboniferous	石炭纪
carbonized	碳化
carbonyl	羰基
carboxylic	羧基的
carbuncle	痈
carbureted	使与碳化合
carburetor	增碳器
carburettor	汽化器
carcase	尸体
carcass	尸体
carcinogen	致癌物质
carcinogenesis	致癌作用
carcinogenic	致癌作用
carcinogenicity	类癌瘤
carcinoid	良性肿瘤的
carcinoma	癌
card	卡片
cardamom	豆蔻
cardboard	薄纸板
cardholder	持有信用卡的
cardia	贲门
cardiac	心脏病患者
cardiff	加的夫（英国
cardigan	卡迪根式开襟
cardiganshire	卡的根郡
cardinal	红衣主教
cardiologist	心脏病学家
cardiology	心脏病学
cardiomyopathy	心肌病
cardiopulmonary	心肺的
cardiorespiratory	心和肺的
cardiothoracic	心胸的
cardiovascular	心血管的
cardioversion	[医]心律转
cards	一副纸牌
cardwell	人名
cardy	[康沃尔人、
care	小心
careen	倾斜
careening	将船倾侧
career	事业
careerism	野心
careerist	妄想发迹的人
carefree	无忧无虑的
careful	小心的
carefully	小心地
carefulness	小心
caregiver	照料者
carel	人名
careless	粗心的
carelessly	不注意地
carelessness	粗心大意
carer	负责照顾（老
caress	爱抚
caressing	爱抚的
caressingly	爱抚地
caretaker	照顾者
caretaking	看管
carew	人名
careworn	忧心忡忡的
carey	凯里（等于C
carfare	车资
carfax	<英>交叉路
cargill	美国嘉吉公司
cargo	货物
carhop	把饭菜端给汽
caribbean	加勒比海
caribou	北美驯鹿
caricatural	讽刺画的
caricature	讽刺画
caricatured	用漫画表现或
caricaturist	讽刺画家
caricom	加勒比共同市
caries	龋
carillon	排钟
carina	隆线
caring	有同情心的
carinthia	卡林西亚（奥
carioca	克力欧卡舞
carita	人名
carjack	车辆起重器
carjacker	武力劫夺汽车
carjacking	劫车
carl	卡尔（男名）
carla	卡拉（女子名
carless	没有汽车的
carleton	卡尔顿（位于
carlile	人名
carlin	老妇人
carling	短纵梁
carlisle	卡莱尔（英国
carlo	卡洛（男子名
carload	车辆荷载
carlos	卡洛斯（男子
carlotta	奕香（法国著
carlsberg	嘉士伯啤酒公
carlson	卡尔森（公司
carlton	卡尔顿（男子
carly	卡莉（女子名
carlyle	卡莱尔
carmaker	汽车制造商
carmarthen	喀麦登（威尔
carmarthenshire	卡马森郡[英
carmel	卡梅尔
carmelite	加尔默罗会修
carmen	卡门（女子名
carmichael	卡米高（地区
carmina	人名
carmine	胭脂红
carn	堆石标记
carnaby	Street
carnage	大屠杀
carnal	肉体的
carnality	肉欲
carnally	肉体地
carnarvon	卡那封郡
carnation	康乃馨
carnaval	（法）嘉年华
carne	肉（西班牙语
carnegie	卡内基（姓氏
carnelian	红玉髓
carney	哄骗
carnitine	卡尼汀
carnival	嘉年华会
carnivalesque	好像过节的
carnivore	食肉动物
carnivorous	食肉的
carny	哄骗
caro	肌
carob	角豆树
carol	颂歌
carole	卡罗尔（女子
caroler	欢唱（颂歌）
carolina	北卡罗来纳州
caroline	凯若琳（女子
carolingian	卡洛林王朝的
carolinian	美国北[南]
carolyn	卡洛琳（女子
carom	连着双球的一
caron	卡朗（法国一
carotene	胡萝卜素
carotenoid	类胡萝卜素
carotid	颈动脉
carouse	喧闹的酒会或
carousel	竞技比武大会
carousing	痛饮
carp	鲤鱼
carpaccio	生牛肉片
carpal	腕的
carpark	停车场
carpathian	喀尔巴阡山脉
carpel	心皮
carpenter	木匠
carpentry	木工手艺
carpet	地毯
carpetbag	毯制的旅行袋
carpetbagger	南北战争后只
carpeted	在…上铺地毯
carpeting	地毯料
carping	吹毛求疵的
carpool	合伙使用汽车
carport	汽车棚
carr	凯尔（挪威
carrara	卡拉拉（意大
carre	卡雷（姓氏）
carrel	小阅读室
carrera	卡雷拉（意大
carriage	马车
carriageway	车行道
carrick	大帆船
carrickfergus	卡里克弗格斯
carrie	卡丽（女名
carried	入神的
carrier	运送者
carrington	人名
carrion	死肉
carroll	卡罗尔（罗马
carron	人名
carrot	胡萝卜
carrow	人名
carruthers	人名
carry	进位
carryall	一种四轮马车
carrycot	轻便婴儿床
carrying	运载
carryover	移后扣减
carshalton	卡苏顿（位于
carsick	晕车的
carson	卡尔森（姓氏
carstairs	人名
carswell	人名
cart	二轮运货马车
cartagena	卡塔赫纳
carte	菜单
cartel	卡特尔
carter	运货马车夫
cartesian	笛卡尔的
cartesianism	笛卡儿哲学
carthage	迦太基
carthaginian	迦太基的
carthorse	拖货车的马
carthusian	天主教加尔都
cartier	卡蒂亚
cartilage	软骨
cartilaginous	[解剖]软骨
carting	运出
cartland	人名
cartload	一车的载量
cartographer	地图制作者
cartographic	制图的
cartography	地图制作
carton	硬纸盒
cartoon	卡通画
