# Common English word | short Simplified Chinese gloss
# Derived from ECDICT. License: MIT.
# Source snapshot downloaded: 2026-08-25
# Source SHA-256: 1a6947e04785db63613a92e14903cdae7954f7e84860b10e68e5c7cbb3f9c3cf
a	第一个字母A
albumin	清蛋白
albuquerque	阿尔伯克基（
alcalde	市长
alcatel	阿尔卡特（公
alcatraz	恶魔岛（等于
alcester	人名
alchemical	炼丹的
alchemist	炼金术士
alchemy	炼金术
alcock	阿尔科克
alcohol	酒精
alcoholic	酒鬼
alcoholism	酗酒
alcove	凹室
alcuin	阿尔昆
aldeburgh	人名
aldehyde	醛
alder	桤木
alderman	市政委员会委
aldermaston	奥尔德玛斯顿
alderney	奥尔德尼乳牛
aldershot	奥尔德肖特
alderson	人名
alderton	人名
aldington	奥尔丁顿
aldo	奥尔多（男子
aldous	奥尔德斯
aldrich	奥德里奇（人
aldridge	奥尔德里奇
aldus	奥尔德斯（男
aldwych	奥德维奇站
ale	麦芽酒
aleatory	尚不能肯定的
alec	亚历克（男子
aled	人名
alehouse	出售麦酒的酒
alejandro	亚历杭德罗（
aleksandr	亚历山大
alendronate	阿仑膦酸钠
aleph	希伯来文的第
aleppo	阿勒波
alert	警觉的
alerted	警告
alertly	警觉地
alertness	警戒
alesi	人名
alessandra	亚历山德拉（
alessandro	亚历山大（男
aleutian	阿留申群岛之
alewife	啤酒店女主人
alex	开放网络文件
alexander	亚历山大（男
alexandra	亚历山德拉（
alexandre	亚历山大（马
alexandria	亚历山大港（
alexei	人名
alexis	亚历克西斯（
alf	阿尔夫
alfa	芦苇草
alfalfa	苜蓿
alfie	阿尔菲
alfonso	阿方索（男子
alford	奥尔福德（地
alfred	阿尔佛雷德（
alfredo	阿尔弗雷多（
alfreton	奥尔弗里顿（
alga	藻类
algae	pl.藻类
algal	藻的
algarve	人名
algebra	代数学
algebraic	代数的
algebraically	用代数方法
algeria	阿尔及利亚
algerian	阿尔及利亚的
algernon	阿尔杰农
algiers	阿尔及尔
algonquian	阿尔冈琴语系
algonquin	阿尔冈琴族
algorithm	算法
algorithmic	算法的
alhambra	中古西班牙摩
ali	异步线路接口
alia	艾莉雅（人名
alias	别名
aliase	别名
alibi	不在犯罪现场
alicante	阿利坎特
alice	应用语言接口
alicia	艾丽西娅
alick	亚历克（男子
alida	人名
alien	外国人
alienable	可让与的
alienate	使疏远
alienated	疏远的
alienating	使疏远
alienation	疏远
alienist	精神病医生
alienness	相异
alight	落下
align	排列
aligned	对齐的
alignment	队列
alike	相似的
alimentary	饮食的
alimony	瞻养费
alina	爱丽娜（女子
aline	排成直线
aliquot	整除数
alisdair	人名
alison	艾莉森（女子
alistair	阿利斯泰尔
alitalia	意大利航空公
alive	活着的
aliveness	活力
alix	阿利克斯（人
aliyah	<希伯来>登
alizarin	茜素
alkali	碱
alkaline	碱的
alkalinity	碱度
alkaloid	生物碱
alkyd	醇酸树脂
alkyl	烷基
all	所有的
all-american	全美最佳的
all-out	竭力的
all-rounder	全能运动员
all-star	全明星的
all-time	全部时间的
alla	如同…一样的
allah	安拉
allan	艾伦（男子名
allard	人名
allay	使平静
allegation	断言
allege	宣称
alleged	被断言的
allegedly	依其申述
allegiance	忠贞
allegorical	寓言的
allegorically	寓言地
allegorize	寓言化
allegory	寓言
allegro	急速地
allele	等位基因
allelopathy	植化相克
alleluia	哈利路亚
allen	艾伦（男子名
allenby	艾伦比
allende	人名
allergen	变应原
allergenic	变应原的
allergic	对...过敏
allergist	过敏症专科医
allergy	变应性
allerton	人名
alleviate	减轻
alleviation	减轻
alley	小路
alleyway	小巷
allgemeine	全身疲劳
alliance	联盟
allied	联盟的
alligator	短吻鳄
allinson	人名
allison	艾利森（女子
alliterate	用头韵法
alliteration	头韵
alliterative	头韵的
allman	人名
allo	紧密相联的
alloa	阿洛厄
allocate	分派
allocated	分配的
allocation	配置
allocative	配置的
allocator	分配符
allogeneic	同种异体的
allograft	同种移植物
allometric	[生]异速生
allometry	体形变异
allopathic	对抗疗法的
allosaurus	[古生]异龙
allot	分配
allotment	分配
allotted	专款的
allottee	接受分配的人
allow	允许
allowable	允许的
allowance	津贴
allowed	允许
alloy	合金
allspice	多香果
allude	暗指
allure	引诱
allurement	引诱
alluring	吸引人的
alluringly	诱人地
allusion	提及
allusive	暗指的
alluvial	冲积的
alluvium	冲积层
ally	同盟者
alm	救济品
alma	阿尔玛（女子
almanac	年历
almeida	人名
almighty	万能的
almond	杏仁
almoner	施赈人员
almost	几乎
alms	施舍
almshouse	救济院
alnwick	人名
aloe	芦荟
aloft	在高处
aloha	interj
alois	人名
alone	孤独的
aloneness	孤独感
along	平行地
alongside	在旁边
aloof	远离的
